image,script,language,gt_path,is_lowresource,is_handwritten
eng_001.jpeg,Latin,eng,,0,0
eng_002.jpg,Latin,eng,,0,0
eng_003.png,Latin,eng,,0,0
eng_004.jpg,Latin,eng,,0,0
eng_005.jpg,Latin,eng,,0,0
eng_006.jpg,Latin,eng,,0,0
jawi_001.jpg,Jawi,msa,,1,1
jawi_002.png,Jawi,msa,,1,1
jawi_003.jpg,Jawi,msa,,1,1
jawi_004.png,Jawi,msa,,1,1
jawi_005.jpg,Jawi,msa,,1,0
ara_001.jpg,Arabic,ara,,0,1
ara_002.jpg,Arabic,ara,,0,0
ara_003.png,Arabic,ara,,0,0
ara_004.jpg,Arabic,ara,,0,0
ara_005.jpg,Arabic,ara,,0,1
ara_006.png,Arabic,ara,,0,0
eng_007.png,Latin,eng,data/ground_truth/eng_007.txt,0,0
eng_008.png,Latin,eng,data/ground_truth/eng_008.txt,0,0
